Année;Code IRIS;Nom IRIS;Numéro de voie;Indice de répétition;Type de voie;Libellé de voie;Code Commune;Nom Commune;Segment de client;Nombre de logements;Consommation annuelle totale de l'adresse (MWh);Consommation annuelle moyenne par logement de l'adresse (MWh);Consommation annuelle moyenne de la commune (MWh);Adresse;Code EPCI;Code Département;Code Région;Tri des adresses
2018;740100401;Annecy-Albigny;11.0;B;RUE;DU DOCTEUR GELEY;74010;ANNECY;RESIDENTIEL;14;116.279;8.306;3.092;11 B RUE DU DOCTEUR GELEY;200066793.0;74.0;84.0;411702
2018;740100502;Fier;13.0;;BOULEVARD;DU FIER;74010;ANNECY;RESIDENTIEL;10;23.97;2.397;3.092;13 BOULEVARD DU FIER;200066793.0;74.0;84.0;411718
2018;740100502;Fier;11.0;B;BOULEVARD;DU FIER;74010;ANNECY;RESIDENTIEL;48;77.947;1.624;3.092;11 B BOULEVARD DU FIER;200066793.0;74.0;84.0;411721
2018;740100404;Coteau;2.0;B;RUE;DU GENERAL FERRIE;74010;ANNECY;RESIDENTIEL;12;38.868;3.239;3.092;2 B RUE DU GENERAL FERRIE;200066793.0;74.0;84.0;411733
2018;740100103;Vieille Ville;5.0;;RUE;DU LAC;74010;ANNECY;RESIDENTIEL;15;16.997;1.133;3.092;5 RUE DU LAC;200066793.0;74.0;84.0;411744
2018;740100304;Galbert;1.0;;BOULEVARD;DU LYCEE;74010;ANNECY;RESIDENTIEL;20;52.67;2.634;3.092;1 BOULEVARD DU LYCEE;200066793.0;74.0;84.0;411756
2018;740100304;Galbert;7.0;B;BOULEVARD;DU LYCEE;74010;ANNECY;RESIDENTIEL;27;48.644;1.802;3.092;7 B BOULEVARD DU LYCEE;200066793.0;74.0;84.0;411758
2018;74010xxxx;Fictif - Annecy;7.0;;RUE;DU MANOIR;74010;ANNECY;RESIDENTIEL;20;40.729;2.036;3.092;7 RUE DU MANOIR;200066793.0;74.0;84.0;411760
2018;740100604;Novel-Teppes;15.0;;CHEMIN;DU MAQUIS;74010;ANNECY;RESIDENTIEL;16;26.697;1.669;3.092;15 CHEMIN DU MAQUIS;200066793.0;74.0;84.0;411766
2018;740100604;Novel-Teppes;13.0;;CHEMIN;DU MAQUIS;74010;ANNECY;RESIDENTIEL;16;28.576;1.786;3.092;13 CHEMIN DU MAQUIS;200066793.0;74.0;84.0;411767
2018;740100604;Novel-Teppes;11.0;;CHEMIN;DU MAQUIS;74010;ANNECY;RESIDENTIEL;16;35.263;2.204;3.092;11 CHEMIN DU MAQUIS;200066793.0;74.0;84.0;411768
2018;740100402;Salomons;10.0;;RUE;DU MONT BARON;74010;ANNECY;RESIDENTIEL;14;29.823;2.13;3.092;10 RUE DU MONT BARON;200066793.0;74.0;84.0;411770
2018;740100402;Salomons;8.0;;RUE;DU MONT BARON;74010;ANNECY;RESIDENTIEL;14;25.044;1.789;3.092;8 RUE DU MONT BARON;200066793.0;74.0;84.0;411771
2018;740100402;Salomons;2.0;;RUE;DU MONT BARON;74010;ANNECY;RESIDENTIEL;14;76.71;5.479;3.092;2 RUE DU MONT BARON;200066793.0;74.0;84.0;411774
2018;740100103;Vieille Ville;19.0;;RUE;DU PAQUIER;74010;ANNECY;RESIDENTIEL;12;47.062;3.922;3.092;19 RUE DU PAQUIER;200066793.0;74.0;84.0;411785
2018;740100303;Romains;9.0;;AVENUE;DU PARC DES SPORTS;74010;ANNECY;RESIDENTIEL;10;15.989;1.599;3.092;9 AVENUE DU PARC DES SPORTS;200066793.0;74.0;84.0;411799
2018;740100503;Geneve;48.0;B;AVENUE;DU PARC DES SPORTS;74010;ANNECY;RESIDENTIEL;25;109.669;4.387;3.092;48 B AVENUE DU PARC DES SPORTS;200066793.0;74.0;84.0;411801
2018;740100401;Annecy-Albigny;30.0;;AVENUE;DU PARMELAN;74010;ANNECY;RESIDENTIEL;11;28.108;2.555;3.092;30 AVENUE DU PARMELAN;200066793.0;74.0;84.0;411811
2018;740100604;Novel-Teppes;110.0;;ROUTE;DU PERIMETRE;74010;ANNECY;RESIDENTIEL;23;34.376;1.495;3.092;110 ROUTE DU PERIMETRE;200066793.0;74.0;84.0;411816
2018;740100604;Novel-Teppes;105.0;;ROUTE;DU PERIMETRE;74010;ANNECY;RESIDENTIEL;22;101.166;4.598;3.092;105 ROUTE DU PERIMETRE;200066793.0;74.0;84.0;411819
2018;740100604;Novel-Teppes;95.0;;ROUTE;DU PERIMETRE;74010;ANNECY;RESIDENTIEL;24;194.052;8.086;3.092;95 ROUTE DU PERIMETRE;200066793.0;74.0;84.0;411822
2018;740100604;Novel-Teppes;81.0;;ROUTE;DU PERIMETRE;74010;ANNECY;RESIDENTIEL;60;70.848;1.181;3.092;81 ROUTE DU PERIMETRE;200066793.0;74.0;84.0;411823
2018;740100602;Novel-Louis Armand;69.0;;ROUTE;DU PERIMETRE;74010;ANNECY;RESIDENTIEL;22;28.596;1.3;3.092;69 ROUTE DU PERIMETRE;200066793.0;74.0;84.0;411825
2018;740100604;Novel-Teppes;16.0;;RUE;DU PONT ROMAIN;74010;ANNECY;RESIDENTIEL;10;14.688;1.469;3.092;16 RUE DU PONT ROMAIN;200066793.0;74.0;84.0;411861
2018;740100604;Novel-Teppes;10.0;;RUE;DU PONT ROMAIN;74010;ANNECY;RESIDENTIEL;10;19.319;1.932;3.092;10 RUE DU PONT ROMAIN;200066793.0;74.0;84.0;411863
2018;74010xxxx;Fictif - Annecy;14.0;;RUE;DU PRE LONGE;74010;ANNECY;RESIDENTIEL;18;27.779;1.543;3.092;14 RUE DU PRE LONGE;200066793.0;74.0;84.0;411875
2018;74010xxxx;Fictif - Annecy;10.0;;RUE;DU PRE LONGE;74010;ANNECY;RESIDENTIEL;10;78.041;7.804;3.092;10 RUE DU PRE LONGE;200066793.0;74.0;84.0;411876
2018;74010xxxx;Fictif - Annecy;10.0;;ALLEE;DU PRESSOIR;74010;ANNECY;RESIDENTIEL;25;33.817;1.353;3.092;10 ALLEE DU PRESSOIR;200066793.0;74.0;84.0;411881
2018;740100205;Gare;9.0;;AVENUE;DU RHONE;74010;ANNECY;RESIDENTIEL;42;98.138;2.337;3.092;9 AVENUE DU RHONE;200066793.0;74.0;84.0;411895
2018;740101202;Alery-Sous-Alery;10.0;;RUE;DU ROND POINT;74010;ANNECY;RESIDENTIEL;26;56.687;2.18;3.092;10 RUE DU ROND POINT;200066793.0;74.0;84.0;411900
2018;740100304;Galbert;24.0;;AVENUE;DU STADE;74010;ANNECY;RESIDENTIEL;15;30.542;2.036;3.092;24 AVENUE DU STADE;200066793.0;74.0;84.0;411909
2018;740100303;Romains;13.0;;AVENUE;DU STADE;74010;ANNECY;RESIDENTIEL;15;31.275;2.085;3.092;13 AVENUE DU STADE;200066793.0;74.0;84.0;411913
2018;74010xxxx;Fictif - Annecy;24.0;;ALLEE;DU TENAILLER;74010;ANNECY;RESIDENTIEL;10;26.468;2.647;3.092;24 ALLEE DU TENAILLER;200066793.0;74.0;84.0;411922
2018;74010xxxx;Fictif - Annecy;51.0;;RUE;DU VAL VERT;74010;ANNECY;RESIDENTIEL;17;45.12;2.654;3.092;51 RUE DU VAL VERT;200066793.0;74.0;84.0;411936
2018;74010xxxx;Fictif - Annecy;31.0;;RUE;DU VAL VERT;74010;ANNECY;RESIDENTIEL;13;32.718;2.517;3.092;31 RUE DU VAL VERT;200066793.0;74.0;84.0;411939
2018;74010xxxx;Fictif - Annecy;9.0;;RUE;DU VAL VERT;74010;ANNECY;RESIDENTIEL;23;53.654;2.333;3.092;9 RUE DU VAL VERT;200066793.0;74.0;84.0;411948
2018;740100102;Bonlieu;12.0;;RUE;ELOI SERAND;74010;ANNECY;RESIDENTIEL;20;68.713;3.436;3.092;12 RUE ELOI SERAND;200066793.0;74.0;84.0;411968
2018;740100102;Bonlieu;2.0;;RUE;ELOI SERAND;74010;ANNECY;RESIDENTIEL;10;58.819;5.882;3.092;2 RUE ELOI SERAND;200066793.0;74.0;84.0;411970
2018;740100303;Romains;2.0;;RUE;FABIEN CALLOUD;74010;ANNECY;RESIDENTIEL;12;27.085;2.257;3.092;2 RUE FABIEN CALLOUD;200066793.0;74.0;84.0;411983
2018;740100201;Semnoz;3.0;;CHEMIN;FALQUET;74010;ANNECY;RESIDENTIEL;19;57.467;3.025;3.092;3 CHEMIN FALQUET;200066793.0;74.0;84.0;411984
2018;740100404;Coteau;5.0;;RUE;FELIX PETIT;74010;ANNECY;RESIDENTIEL;26;35.578;1.368;3.092;5 RUE FELIX PETIT;200066793.0;74.0;84.0;411990
2018;740100103;Vieille Ville;18.0;;RUE;FILATERIE;74010;ANNECY;RESIDENTIEL;11;30.841;2.804;3.092;18 RUE FILATERIE;200066793.0;74.0;84.0;411994
2018;740100401;Annecy-Albigny;7.0;B;AVENUE;FRANCOIS FAVRE;74010;ANNECY;RESIDENTIEL;14;16.487;1.178;3.092;7 B AVENUE FRANCOIS FAVRE;200066793.0;74.0;84.0;412001
2018;74010xxxx;Fictif - Annecy;13.0;;RUE;FRANCOIS VERNEX;74010;ANNECY;RESIDENTIEL;13;17.27;1.328;3.092;13 RUE FRANCOIS VERNEX;200066793.0;74.0;84.0;412004
